thr,slope,beta,full,last,combined
0.3,3,0.85,0.5127360731883092,0.030687116545922096,0.36812138619559304
0.3,3,0.9,0.5290984653848111,0.021907710247304653,0.3769412388435591
0.3,3,0.95,0.5446477555015734,0.0156590083797822,0.385951131365036
0.3,3,1.0,0.5567463884393663,0.011203895887800323,0.39308364067389645
0.3,3,1.05,0.5640439375486608,0.008023019281871773,0.39723766206862404
0.3,3,1.1,0.5652064863236411,0.005749227658532714,0.3973693087241086
0.3,5,0.85,0.506592367051801,0.31436632915591933,0.44892455568303646
0.3,5,0.9,0.5236651028867412,0.2474456180652713,0.44079925744030024
0.3,5,0.95,0.5396436069344599,0.19501116845716004,0.4362538753912699
0.3,5,1.0,0.5517692388083512,0.15386677058116316,0.4323984983401948
0.3,5,1.05,0.5591193044929811,0.12153654784765217,0.42784447749938237
0.3,5,1.1,0.5605309777441267,0.09609884070368407,0.42120133663199394
0.3,10,0.85,0.5019170608923877,0.75,0.5763419426246714
0.3,10,0.9,0.5189177159258941,0.75,0.5882424011481258
0.3,10,0.95,0.5356942152582894,0.75,0.5999859506808025
0.3,10,1.0,0.5473483334522338,0.7025087898700273,0.5938964703775718
0.3,10,1.05,0.5540762651106121,0.5888262469745285,0.564501259669787
0.3,10,1.1,0.5535504191393814,0.4935416687246795,0.5355477940149709
0.3,20,0.85,0.500631740817824,0.75,0.5754422185724768
0.3,20,0.9,0.5174584969964257,0.75,0.5872209478974979
0.3,20,0.95,0.534259014429044,0.75,0.5989813101003307
0.3,20,1.0,0.5459514712018787,0.7499495124332558,0.6071508835712918
0.3,20,1.05,0.5526327790797271,0.6306277339842091,0.5760312655510716
0.3,20,1.1,0.5505349698891634,0.5302908159525774,0.5444617237081876
0.3,40,0.85,0.5010207607880893,0.75,0.5757145325516625
0.3,40,0.9,0.5179224404942083,0.75,0.5875457083459458
0.3,40,0.95,0.5347986348190591,0.75,0.5993590443733413
0.3,40,1.0,0.5465089589719584,0.7499999999468999,0.6075562712644408
0.3,40,1.05,0.5529149734140126,0.6306723113934017,0.5762421748078294
0.3,40,1.1,0.5507364339807559,0.5303300858486086,0.5446145295411117
0.4,3,0.85,0.5159196592034634,0.013516621847773438,0.36519874799675633
0.4,3,0.9,0.5308046411276109,0.00924312957077853,0.37433618766056115
0.4,3,0.95,0.5465157955357663,0.006325564694038922,0.3844587262832481
0.4,3,1.0,0.5589465119234406,0.004331507100256586,0.39256201047648537
0.4,3,1.05,0.5665236231594627,0.0029674481427715994,0.39745677065445534
0.4,3,1.1,0.5676498787569418,0.002033706188199199,0.397965026986319
0.4,5,0.85,0.5113390234770052,0.16573554228772577,0.4076579791202214
0.4,5,0.9,0.5282453667414918,0.1273167533760655,0.4079667827318639
0.4,5,0.95,0.5441081503132482,0.09796691151164094,0.410265778672766
0.4,5,1.0,0.5562817867673997,0.07549728061824608,0.41204643492265364
0.4,5,1.05,0.5642455096979935,0.058261535090665666,0.4124503173157951
0.4,5,1.1,0.5656130467402992,0.045017143044366055,0.4094342756315193
0.4,10,0.85,0.5057404955849639,0.75,0.5790183469094747
0.4,10,0.9,0.5231247041265615,0.75,0.5911872928885931
0.4,10,0.95,0.5396528143891749,0.7227873313834071,0.5945931694874446
0.4,10,1.0,0.5510551260499371,0.6297164324993005,0.5746535179847461
0.4,10,1.05,0.5578942399340634,0.5250351404075708,0.5480365100761156
0.4,10,1.1,0.5595697570821668,0.4377647291503357,0.5230282487026174
0.4,20,0.85,0.5037662335636224,0.75,0.5776363634945356
0.4,20,0.9,0.5208370702704245,0.75,0.5895859491892971
0.4,20,0.95,0.5378310446716268,0.75,0.6014817312701387
0.4,20,1.0,0.5499485430077586,0.7496270523590125,0.6098520958131348
0.4,20,1.05,0.5564505696872603,0.6303430259649909,0.5786183065705794
0.4,20,1.1,0.5569545982115739,0.5300400101747413,0.5488802218005241
0.4,40,0.85,0.502510947541185,0.75,0.5767576632788294
0.4,40,0.9,0.5194500534507602,0.75,0.5886150374155321
0.4,40,0.95,0.5363638463256258,0.75,0.600454692427938
0.4,40,1.0,0.5481521178925456,0.7499999971007543,0.6087064816550082
0.4,40,1.05,0.5548158003224428,0.6306723088804225,0.5775727528898367
0.4,40,1.1,0.5540737935518572,0.5303300836348267,0.546950680576748
0.5,3,0.85,0.5177914349211882,0.0050149609795446795,0.3639584927386951
0.5,3,0.9,0.5323641827220776,0.0032444080966741447,0.37362825033445657
0.5,3,0.95,0.5481755458874586,0.002099724537667185,0.38435279948252116
0.5,3,1.0,0.5621903979584492,0.0013592706356506258,0.3939410597616096
0.5,3,1.05,0.570358000492344,0.0008801066723457189,0.3995146323463445
0.5,3,1.1,0.572205022799728,0.0005699380846514421,0.400714497385205
0.5,5,0.85,0.5172721002047634,0.07040639611658105,0.3832123889783087
0.5,5,0.9,0.5327739635727189,0.05221397901825057,0.3886059682063784
0.5,5,0.95,0.5484856554418172,0.038785312290837516,0.39557555249652326
0.5,5,1.0,0.5610976830348858,0.02885133624499536,0.40142377899791865
0.5,5,1.05,0.5693552527047951,0.021488546363323497,0.40499524080235366
0.5,5,1.1,0.5709648655577131,0.016022306373809282,0.4044820978025419
0.5,10,0.85,0.5112767440752983,0.7091459513718574,0.570637506264266
0.5,10,0.9,0.5286184752198172,0.6613984149660098,0.5684524571436749
0.5,10,0.95,0.5445258520948767,0.5786787371691671,0.5547717176171638
0.5,10,1.0,0.5561676285327017,0.4763515620732154,0.5322228085948558
0.5,10,1.05,0.5639413970464867,0.39217293331996383,0.5124108579285298
0.5,10,1.1,0.565897395738603,0.3229141108801965,0.49300241028108105
