target,pseudo_stage,source,mmd,n_source,weight
Test1,mid,Train4,1.141847223228822,45,0.2659402654226757
Test1,mid,Train1,1.2045871983859773,42,0.2520889877260635
Test2,mid,Train4,1.3044799842623767,45,0.2631918585113702
Test2,mid,Train2,1.3822520140419663,38,0.24838345162062542
Test3,early,Train3,1.3863373981532152,31,0.25241932626615754
Test3,early,Train4,1.3934003769757202,47,0.2511398439968933
Test4,mid,Train4,1.3395623603045765,45,0.2593886652838424
Test4,mid,Train2,1.390997642374192,38,0.24979718995230396
Test5,eol,Train1,0.39800446781997767,10,0.4109665294879282
Test5,eol,Train2,0.6808379574349664,9,0.24024319413716774
Test6,eol,Train1,0.47875631478496206,10,0.44914547875316185
Test6,eol,Train4,1.0297106397765592,10,0.20882708813734538
