val,threshold_s,recall,precision_proxy,positive_rate,auc,ap
Train1,1200,0.5,1.0,0.007936507936507936,0.9596774193548386,0.5833333333333334
Train1,2400,1.0,1.0,0.031746031746031744,1.0,1.0
Train1,3600,1.0,0.75,0.06349206349206349,0.9944444444444445,0.8734126984126983
Train1,6000,0.9,0.5625,0.12698412698412698,0.9853448275862069,0.8826515151515151
Train2,1200,0.5,1.0,0.008771929824561403,0.9285714285714286,0.5555555555555556
Train2,2400,0.25,0.3333333333333333,0.02631578947368421,0.9204545454545455,0.3006628787878788
Train2,3600,0.3333333333333333,0.4,0.043859649122807015,0.9320987654320988,0.3571123321123322
Train2,6000,0.9,0.5625,0.14035087719298245,0.9663461538461539,0.6405772005772006
Train3,1200,0.0,0.0,0.0,0.9885057471264368,0.5833333333333333
Train3,2400,1.0,1.0,0.0449438202247191,1.0,1.0
Train3,3600,0.6666666666666666,1.0,0.0449438202247191,1.0,1.0
Train3,6000,0.7,1.0,0.07865168539325842,1.0,0.9999999999999999
Train4,1200,0.5,0.5,0.014598540145985401,0.9888888888888888,0.5
Train4,2400,0.75,0.25,0.08759124087591241,0.9718045112781954,0.4352564102564102
Train4,3600,0.8333333333333334,0.18518518518518517,0.19708029197080293,0.9300254452926208,0.5131381381381381
Train4,6000,1.0,0.20833333333333334,0.35036496350364965,0.9338582677165355,0.5019867986916041
