thr1,thr2,slope,beta,full,last,combined
0.3,0.65,10,0.9,0.541611941051145,1.0,0.6791283587358015
0.3,0.65,10,0.95,0.5566966076062051,1.0,0.6896876253243436
0.3,0.65,10,1.0,0.5656952846018761,0.9532971347317711,0.6819758396408446
0.3,0.65,10,1.05,0.5684891541170222,0.8002253049900439,0.6380099993789287
0.3,0.65,10,1.1,0.5668116019879511,0.6713515486597135,0.5981735859894798
0.3,0.65,20,0.9,0.5423791003773717,1.0,0.6796653702641602
0.3,0.65,20,0.95,0.5558688646395399,1.0,0.6891082052476779
0.3,0.65,20,1.0,0.564408870292468,0.9999512616829211,0.6950715877096039
0.3,0.65,20,1.05,0.5662996011512361,0.8408539492507787,0.6486659055810988
0.3,0.65,20,1.1,0.5631866719465795,0.7070691398288227,0.6063514123112524
0.3,0.65,40,0.9,0.5432701402914405,1.0,0.6802890982040083
0.3,0.65,40,0.95,0.5557784741431794,1.0,0.6890449319002255
0.3,0.65,40,1.0,0.5650786727927979,1.0,0.6955550709549585
0.3,0.65,40,1.05,0.5658431541569695,0.8408964152537148,0.6483591324859931
0.3,0.65,40,1.1,0.5621140561481901,0.707106781186548,0.6056118736596974
0.3,0.65,60,0.9,0.5437407525037454,1.0,0.6806185267526217
0.3,0.65,60,0.95,0.556178288300506,1.0,0.6893248018103542
0.3,0.65,60,1.0,0.565509596323915,1.0,0.6958567174267405
0.3,0.65,60,1.05,0.5660302223513898,0.8408964152537148,0.6484900802220872
0.3,0.65,60,1.1,0.561750455154209,0.707106781186548,0.6053573529639107
0.3,0.7,10,0.9,0.5409342393670334,1.0,0.6786539675569234
0.3,0.7,10,0.95,0.5570281327688138,1.0,0.6899196929381697
0.3,0.7,10,1.0,0.5667823945466826,0.9532971347317711,0.6827368166022091
0.3,0.7,10,1.05,0.5700700014432436,0.8002253049900439,0.6391165925072837
0.3,0.7,10,1.1,0.5685635632830685,0.6713515486597135,0.5993999588960619
0.3,0.7,20,0.9,0.5414252151918306,1.0,0.6789976506342814
0.3,0.7,20,0.95,0.5556387010096953,1.0,0.6889470907067867
0.3,0.7,20,1.0,0.5646664767287941,0.9999511735470453,0.6952518857742694
